temperature_C,concentration_M,residence_time_min,pH,equiv_oxidant,stirring_rpm,catalyst,solvent,yield_pct,impurity_pct
101.92,1.176,36.19,3.94,1.09,655,None,DMF,99.66,25.7
75.11,1.147,47.74,2.61,0.52,319,A,MeCN,100.0,22.6
108.69,1.674,45.43,5.76,0.12,769,A,THF,100.0,29.23
95.79,1.45,53.66,3.37,1.16,356,A,DMF,100.0,30.03
47.53,0.15,48.54,9.45,2.04,261,C,DMF,86.89,32.02
118.05,0.194,15.59,1.53,1.82,699,None,IPA,93.77,26.95
100.89,1.243,33.8,2.72,1.02,855,B,THF,100.0,25.13
102.89,1.024,18.55,3.6,1.49,1054,C,IPA,100.0,24.18
50.25,0.594,20.46,3.19,1.09,983,C,MeCN,100.0,16.4
76.03,0.895,55.98,3.42,1.45,1057,B,MeCN,100.0,27.04
69.66,1.54,41.23,7.08,1.29,960,C,THF,100.0,17.56
114.14,1.671,58.5,4.28,1.7,903,A,THF,100.0,32.6
91.51,1.166,25.6,6.73,1.27,210,B,THF,100.0,19.19
105.82,0.832,32.71,9.07,2.35,826,B,DMF,100.0,31.6
75.47,0.614,29.74,6.62,1.07,320,None,THF,100.0,12.63
58.18,1.092,7.33,7.4,0.04,259,None,IPA,95.57,19.4
84.37,0.698,14.97,4.61,0.59,356,C,IPA,100.0,10.76
45.11,1.172,32.13,2.86,1.25,1023,None,DMF,82.15,22.41
106.21,1.386,4.98,4.22,1.35,944,A,DMF,100.0,24.67
90.53,0.226,55.96,9.7,1.38,1149,B,MeCN,100.0,30.7
100.65,0.102,8.31,6.79,1.79,1179,B,DMF,100.0,25.43
68.36,0.503,12.68,3.86,0.69,1093,B,MeCN,100.0,12.17
117.66,1.8,46.15,5.33,1.66,333,C,DMF,98.42,31.71
111.45,1.328,6.72,8.6,1.76,1078,C,THF,100.0,30.12
102.27,0.427,54.12,7.18,1.03,1039,C,THF,100.0,30.82
55.57,1.792,43.82,6.27,1.01,1071,B,THF,96.23,19.79
77.34,0.993,5.05,9.02,0.45,352,C,THF,100.0,21.01
43.5,1.005,41.82,7.22,1.03,317,B,IPA,100.0,18.02
52.34,1.878,38.27,6.96,1.97,1124,B,DMF,83.5,23.85
